threshold,accuracy,precision_walking,recall_walking,f1_walking,f1_macro,false_positive_rate,false_negative_rate,tp,tn,fp,fn
0.52,0.5912796880538816,0.381862545750305,0.5443478260869565,0.4488527724665392,0.5620320200360864,0.38805208067398517,0.45565217391304347,939,2397,1520,786
0.53,0.597128677773839,0.386118038237739,0.5385507246376812,0.4497700314693779,0.5660006315602166,0.3770742915496553,0.46144927536231883,929,2440,1477,796
0.54,0.6020914569301666,0.3896434634974533,0.5321739130434783,0.44988973290860085,0.5691070211120819,0.3671176921113097,0.4678260869565217,918,2479,1438,807
0.55,0.6095356256646579,0.39608695652173914,0.5281159420289855,0.45267080745341615,0.5745927394478818,0.35460811845800355,0.4718840579710145,911,2528,1389,814
0.56,0.6150301311591634,0.40053404539385845,0.5217391304347826,0.45317220543806647,0.5780631267890551,0.34388562675516976,0.4782608695652174,900,2570,1347,825
0.57,0.6212336051045728,0.40610756608933457,0.5165217391304348,0.45470783363102835,0.5822758448535318,0.33265254020934387,0.4834782608695652,891,2614,1303,834
0.58,0.6277915632754343,0.4120956399437412,0.5095652173913043,0.4556765163297045,0.5864431598615935,0.3201429665560378,0.49043478260869566,879,2663,1254,846
0.59,0.6347040056717476,0.41899710703953713,0.503768115942029,0.45748881284548565,0.59106905572134,0.3076333929027317,0.49623188405797103,869,2712,1205,856
0.6,0.6405529953917051,0.4250371103414151,0.4979710144927536,0.4586225306994127,0.5947928254452224,0.29665560377840183,0.5020289855072464,859,2755,1162,866
0.61,0.6467564693371145,0.43121149897330596,0.48695652173913045,0.45739177783827933,0.5977669702487941,0.2828695430176155,0.5130434782608696,840,2809,1108,885
0.62,0.6533144275079759,0.43859649122807015,0.4782608695652174,0.45757071547420963,0.6014084366639086,0.2695940770998213,0.5217391304347826,825,2861,1056,900
0.63,0.662176533144275,0.44958217270194983,0.4678260869565217,0.45852272727272725,0.6065153564235868,0.2522338524380904,0.5321739130434783,807,2929,988,918
0.64,0.6660758596242468,0.454178674351585,0.4568115942028986,0.4554913294797688,0.6073468917337494,0.2417666581567526,0.5431884057971015,788,2970,947,937
0.65,0.6713931230060263,0.4617210682492582,0.4510144927536232,0.4563049853372434,0.6104232572101508,0.2315547612969109,0.5489855072463768,778,3010,907,947
0.66,0.6761786600496278,0.4685185185185185,0.44,0.4538116591928251,0.6118409599654767,0.21981107990809293,0.56,759,3056,861,966
0.67,0.6809641970932293,0.4755381604696673,0.4226086956521739,0.44751381215469616,0.6116213466455016,0.20525912688281847,0.577391304347826,729,3113,804,996
0.68,0.684509039347749,0.48140635564570655,0.4127536231884058,0.4444444444444444,0.6120737073707371,0.1958131222874649,0.5872463768115942,712,3150,767,1013
0.69,0.6892945763913506,0.4902370990237099,0.40753623188405796,0.4450775561886673,0.6146618550174106,0.18662241511360736,0.592463768115942,703,3186,731,1022
0.7,0.6937256292095002,0.4989075018208303,0.39710144927536234,0.4422207876049064,0.6155643395635086,0.17564462598927752,0.6028985507246377,685,3229,688,1040
0.71,0.6953208082240341,0.5022796352583586,0.38318840579710145,0.434725419269977,0.6130924196920066,0.1672198110799081,0.6168115942028985,661,3262,655,1064
0.72,0.6983339241403758,0.5091926458832934,0.36927536231884056,0.4280913978494624,0.6116143074947842,0.15675261679857033,0.6307246376811594,637,3303,614,1088
