enter_threshold,exit_threshold,enter_run_windows,exit_run_windows,rows,accuracy,precision_walking,recall_walking,f1_walking,specificity_not_walking,false_positive_rate,tn,fp,fn,tp,scope,segments
0.65,0.65,1,5,388,0.39948453608247425,0.04149377593360996,0.8333333333333334,0.07905138339920949,0.38563829787234044,0.6143617021276596,145,231,2,10,same_patient,4
0.65,0.65,2,1,388,0.6365979381443299,0.05517241379310345,0.6666666666666666,0.10191082802547771,0.6356382978723404,0.36436170212765956,239,137,4,8,same_patient,4
0.65,0.65,2,2,388,0.595360824742268,0.06060606060606061,0.8333333333333334,0.11299435028248588,0.5877659574468085,0.4122340425531915,221,155,2,10,same_patient,4
0.65,0.65,2,3,388,0.5103092783505154,0.050505050505050504,0.8333333333333334,0.09523809523809523,0.5,0.5,188,188,2,10,same_patient,4
0.65,0.65,2,4,388,0.44329896907216493,0.044642857142857144,0.8333333333333334,0.0847457627118644,0.4308510638297872,0.5691489361702128,162,214,2,10,same_patient,4
0.65,0.65,2,5,388,0.44329896907216493,0.044642857142857144,0.8333333333333334,0.0847457627118644,0.4308510638297872,0.5691489361702128,162,214,2,10,same_patient,4
0.65,0.65,3,1,388,0.6726804123711341,0.047244094488188976,0.5,0.08633093525179857,0.6781914893617021,0.32180851063829785,255,121,6,6,same_patient,4
0.65,0.65,3,2,388,0.6288659793814433,0.06578947368421052,0.8333333333333334,0.12195121951219512,0.6223404255319149,0.3776595744680851,234,142,2,10,same_patient,4
0.65,0.65,3,3,388,0.5231958762886598,0.05181347150259067,0.8333333333333334,0.0975609756097561,0.5132978723404256,0.4867021276595745,193,183,2,10,same_patient,4
0.65,0.65,3,4,388,0.4742268041237113,0.04716981132075472,0.8333333333333334,0.08928571428571429,0.4627659574468085,0.5372340425531915,174,202,2,10,same_patient,4
0.65,0.65,3,5,388,0.4742268041237113,0.04716981132075472,0.8333333333333334,0.08928571428571429,0.4627659574468085,0.5372340425531915,174,202,2,10,same_patient,4
0.65,0.65,4,1,388,0.7036082474226805,0.0,0.0,0.0,0.726063829787234,0.27393617021276595,273,103,12,0,same_patient,4
0.65,0.65,4,2,388,0.6623711340206185,0.0,0.0,0.0,0.6835106382978723,0.31648936170212766,257,119,12,0,same_patient,4
0.65,0.65,4,3,388,0.520618556701031,0.0,0.0,0.0,0.5372340425531915,0.4627659574468085,202,174,12,0,same_patient,4
0.65,0.65,4,4,388,0.46134020618556704,0.0,0.0,0.0,0.47606382978723405,0.523936170212766,179,197,12,0,same_patient,4
0.65,0.65,4,5,388,0.46134020618556704,0.0,0.0,0.0,0.47606382978723405,0.523936170212766,179,197,12,0,same_patient,4
0.7,0.4,1,1,388,0.38402061855670105,0.04048582995951417,0.8333333333333334,0.07722007722007722,0.3696808510638298,0.6303191489361702,139,237,2,10,same_patient,4
0.7,0.4,1,2,388,0.2860824742268041,0.03508771929824561,0.8333333333333334,0.06734006734006734,0.26861702127659576,0.7313829787234043,101,275,2,10,same_patient,4
0.7,0.4,1,3,388,0.10824742268041238,0.02824858757062147,0.8333333333333334,0.0546448087431694,0.0851063829787234,0.9148936170212766,32,344,2,10,same_patient,4
0.7,0.4,1,4,388,0.02577319587628866,0.025906735751295335,0.8333333333333334,0.05025125628140704,0.0,1.0,0,376,2,10,same_patient,4
0.7,0.4,1,5,388,0.02577319587628866,0.025906735751295335,0.8333333333333334,0.05025125628140704,0.0,1.0,0,376,2,10,same_patient,4
0.7,0.4,2,1,388,0.4329896907216495,0.0,0.0,0.0,0.44680851063829785,0.5531914893617021,168,208,12,0,same_patient,4
0.7,0.4,2,2,388,0.422680412371134,0.0,0.0,0.0,0.43617021276595747,0.5638297872340425,164,212,12,0,same_patient,4
0.7,0.4,2,3,388,0.36855670103092786,0.0,0.0,0.0,0.3803191489361702,0.6196808510638298,143,233,12,0,same_patient,4
0.7,0.4,2,4,388,0.05412371134020619,0.0,0.0,0.0,0.05585106382978723,0.9441489361702128,21,355,12,0,same_patient,4
0.7,0.4,2,5,388,0.05412371134020619,0.0,0.0,0.0,0.05585106382978723,0.9441489361702128,21,355,12,0,same_patient,4
0.7,0.4,3,1,388,0.44072164948453607,0.0,0.0,0.0,0.45478723404255317,0.5452127659574468,171,205,12,0,same_patient,4
