transformer_threshold,rf_threshold,min_run_windows,rows,accuracy,precision_walking,recall_walking,f1_walking,tn,fp,fn,tp
0.75,0.7,2,424,0.9292452830188679,0.0,0.0,0.0,394,30,0,0
0.75,0.7,3,424,0.9669811320754716,0.0,0.0,0.0,410,14,0,0
0.75,0.7,4,424,0.9811320754716981,0.0,0.0,0.0,416,8,0,0
0.75,0.7,5,424,1.0,0.0,0.0,0.0,424,0,0,0
0.75,0.7,8,424,1.0,0.0,0.0,0.0,424,0,0,0
0.75,0.7,10,424,1.0,0.0,0.0,0.0,424,0,0,0
0.75,0.75,1,424,0.9976415094339622,0.0,0.0,0.0,423,1,0,0
0.75,0.75,2,424,1.0,0.0,0.0,0.0,424,0,0,0
0.75,0.75,3,424,1.0,0.0,0.0,0.0,424,0,0,0
0.75,0.75,4,424,1.0,0.0,0.0,0.0,424,0,0,0
0.75,0.75,5,424,1.0,0.0,0.0,0.0,424,0,0,0
0.75,0.75,8,424,1.0,0.0,0.0,0.0,424,0,0,0
0.75,0.75,10,424,1.0,0.0,0.0,0.0,424,0,0,0
0.75,0.8,1,424,1.0,0.0,0.0,0.0,424,0,0,0
0.75,0.8,2,424,1.0,0.0,0.0,0.0,424,0,0,0
0.75,0.8,3,424,1.0,0.0,0.0,0.0,424,0,0,0
0.75,0.8,4,424,1.0,0.0,0.0,0.0,424,0,0,0
0.75,0.8,5,424,1.0,0.0,0.0,0.0,424,0,0,0
0.75,0.8,8,424,1.0,0.0,0.0,0.0,424,0,0,0
0.75,0.8,10,424,1.0,0.0,0.0,0.0,424,0,0,0
0.75,0.85,1,424,1.0,0.0,0.0,0.0,424,0,0,0
0.75,0.85,2,424,1.0,0.0,0.0,0.0,424,0,0,0
0.75,0.85,3,424,1.0,0.0,0.0,0.0,424,0,0,0
0.75,0.85,4,424,1.0,0.0,0.0,0.0,424,0,0,0
0.75,0.85,5,424,1.0,0.0,0.0,0.0,424,0,0,0
0.75,0.85,8,424,1.0,0.0,0.0,0.0,424,0,0,0
0.75,0.85,10,424,1.0,0.0,0.0,0.0,424,0,0,0
0.75,0.9,1,424,1.0,0.0,0.0,0.0,424,0,0,0
0.75,0.9,2,424,1.0,0.0,0.0,0.0,424,0,0,0
0.75,0.9,3,424,1.0,0.0,0.0,0.0,424,0,0,0
0.75,0.9,4,424,1.0,0.0,0.0,0.0,424,0,0,0
0.75,0.9,5,424,1.0,0.0,0.0,0.0,424,0,0,0
0.75,0.9,8,424,1.0,0.0,0.0,0.0,424,0,0,0
0.75,0.9,10,424,1.0,0.0,0.0,0.0,424,0,0,0
0.8,0.5,1,424,0.47641509433962265,0.0,0.0,0.0,202,222,0,0
0.8,0.5,2,424,0.49292452830188677,0.0,0.0,0.0,209,215,0,0
0.8,0.5,3,424,0.5023584905660378,0.0,0.0,0.0,213,211,0,0
0.8,0.5,4,424,0.5306603773584906,0.0,0.0,0.0,225,199,0,0
0.8,0.5,5,424,0.5495283018867925,0.0,0.0,0.0,233,191,0,0
0.8,0.5,8,424,0.5990566037735849,0.0,0.0,0.0,254,170,0,0
0.8,0.5,10,424,0.5990566037735849,0.0,0.0,0.0,254,170,0,0
0.8,0.6,1,424,0.5825471698113207,0.0,0.0,0.0,247,177,0,0
0.8,0.6,2,424,0.625,0.0,0.0,0.0,265,159,0,0
0.8,0.6,3,424,0.6627358490566038,0.0,0.0,0.0,281,143,0,0
0.8,0.6,4,424,0.6698113207547169,0.0,0.0,0.0,284,140,0,0
0.8,0.6,5,424,0.7264150943396226,0.0,0.0,0.0,308,116,0,0
0.8,0.6,8,424,0.8160377358490566,0.0,0.0,0.0,346,78,0,0
0.8,0.6,10,424,0.8349056603773585,0.0,0.0,0.0,354,70,0,0
0.8,0.65,1,424,0.6886792452830188,0.0,0.0,0.0,292,132,0,0
0.8,0.65,2,424,0.7429245283018868,0.0,0.0,0.0,315,109,0,0
0.8,0.65,3,424,0.7759433962264151,0.0,0.0,0.0,329,95,0,0
0.8,0.65,4,424,0.7971698113207547,0.0,0.0,0.0,338,86,0,0
0.8,0.65,5,424,0.8254716981132075,0.0,0.0,0.0,350,74,0,0
0.8,0.65,8,424,0.9174528301886793,0.0,0.0,0.0,389,35,0,0
0.8,0.65,10,424,0.9386792452830188,0.0,0.0,0.0,398,26,0,0
0.8,0.7,1,424,0.8797169811320755,0.0,0.0,0.0,373,51,0,0
